Bairros,Municipios,Estado,Notificacoes,Casos,Obitos,Curados,Suspeitos,Descartados
15 DE AGOSTO,SANTA TERESA,Espírito Santo,228,80,0,79,0,148
SANTA HELENA,ITARANA,Espírito Santo,228,67,0,66,12,149
BAIXO SÃO SEBASTIÃO,SANTA MARIA DE JETIBA,Espírito Santo,228,79,1,78,5,144
CÓRREGO SÃO VICENTE,RIO BANANAL,Espírito Santo,228,79,0,79,14,135
SÃO JACINTO,RIO BANANAL,Espírito Santo,227,69,0,69,8,150
CÓRREGO DO VEADO,LARANJA DA TERRA,Espírito Santo,227,61,0,61,0,166
MONTEPIO,CASTELO,Espírito Santo,227,67,2,65,10,150
CHÁCARA DA PROVIDÊNCIA,AFONSO CLAUDIO,Espírito Santo,225,59,1,58,2,164
CID MOREIRA,GUACUI,Espírito Santo,225,75,5,63,3,147
DISTRITO DE FAZENDA GUANDU,AFONSO CLAUDIO,Espírito Santo,225,65,1,64,11,149
CORREGO FRANCISCO CORREA,AFONSO CLAUDIO,Espírito Santo,225,71,2,68,5,149
JOEIRANA B,SOORETAMA,Espírito Santo,225,79,1,78,3,143
SANTO AGOSTINHO,MUQUI,Espírito Santo,224,84,0,84,0,140
SANTO ANTÔNIO,ITAPEMIRIM,Espírito Santo,224,68,0,68,1,155
MENEGHEL,ITARANA,Espírito Santo,224,84,0,84,9,131
VARGEM GRANDE,AFONSO CLAUDIO,Espírito Santo,224,73,0,73,5,146
LARANJINHA,LARANJA DA TERRA,Espírito Santo,224,62,2,59,0,162
BOA VISTA,CARIACICA,Espírito Santo,223,51,1,46,45,127
RIBEIRÃO DE CIMA,JOAO NEIVA,Espírito Santo,223,84,0,84,0,139
CÓRREGO FARTURINHA,SAO GABRIEL DA PALHA,Espírito Santo,223,90,0,90,10,123
LOTEAMENTO MILBRATZ,SAO GABRIEL DA PALHA,Espírito Santo,223,91,0,91,13,119
SANTA LUZIA,CONCEICAO DO CASTELO,Espírito Santo,222,60,2,58,2,160
BARRO ROXO,SOORETAMA,Espírito Santo,222,66,0,66,1,155
FUNIL,SANTA LEOPOLDINA,Espírito Santo,222,57,0,53,15,150
SIZENALDO DE SÁ VIANA,SAO JOSE DO CALCADO,Espírito Santo,222,62,3,55,8,152
FUNDÃO,FUNDAO,Espírito Santo,221,46,1,45,11,164
CÓRREGO AVENTUREIRO,BARRA DE SAO FRANCISCO,Espírito Santo,221,71,3,65,32,118
CORREGO JOAQUIM TAVORA,MARILANDIA,Espírito Santo,221,73,0,73,7,141
ASSENTAMENTO TRES CORAÇÕES,BARRA DE SAO FRANCISCO,Espírito Santo,220,70,0,69,45,105
MORADA DAS PALMEIRAS,GUACUI,Espírito Santo,220,82,1,79,1,137
CORREGO PENHA DA BARRA SECA,SAO GABRIEL DA PALHA,Espírito Santo,220,60,0,60,4,156
CORREGO SERENO,GOVERNADOR LINDENBERG,Espírito Santo,220,80,1,79,0,140
RECANTO VERDE,MIMOSO DO SUL,Espírito Santo,219,80,0,80,3,136
MAMONA,CASTELO,Espírito Santo,219,77,1,76,12,130
VILA ESPERANCA,VARGEM ALTA,Espírito Santo,219,83,1,82,42,94
CUSTÓDIO RIBEIRO LEITE,AFONSO CLAUDIO,Espírito Santo,219,60,0,60,1,158
NOSSA SENHORA APARECIDA,MARATAIZES,Espírito Santo,219,80,2,78,0,139
CÓRREGO DA FERRUGEM,SAO DOMINGOS DO NORTE,Espírito Santo,219,69,1,68,0,150
SÃO PEDRO,MARILANDIA,Espírito Santo,218,50,0,50,6,162
SAO FRANCISCO,ARACRUZ,Espírito Santo,218,72,0,66,4,142
CENTRAL PARQUE,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,218,69,0,69,3,146
JEQUITIBÁ,IRUPI,Espírito Santo,218,79,0,76,14,125
BATISTA,MARILANDIA,Espírito Santo,217,70,0,70,10,137
CÓRREGO GRANDE,VILA PAVAO,Espírito Santo,217,63,1,62,0,154
BOA VISTA,ARACRUZ,Espírito Santo,217,41,0,40,3,173
